Date,Nickel Price (USD/MT),Iron Ore Price (USD/MT),Oil Price (USD/barrel),Manufacturing PMI Index,Nickel Price (USD/MT),Chromium Price (USD/MT),Molybdenum Price (USD/MT)
2/28/2025,15623.49,99.33,73.603,51,14944,12161,48606
3/31/2025,15694.5,99.32,73.79,52,14789,12058,47080
4/30/2025,15762.5,97.13,74.691,51,14663,12051,47598
5/31/2025,15846.02,97.13,74.526,52,14507,12174,47610
6/30/2025,15915.02,97.1,74.56,50,14487,12092,47609
7/31/2025,15982.02,97.13,75.801,50,14388,12064,47767
8/31/2025,15628,94.12,75.123,51,14305,12092,47473
9/30/2025,14388,92.94,76.056,53,14206,12191,47888
10/31/2025,15487,92.86,76.918,52,14217,12032,47239
11/30/2025,14117,91.94,75.056,52,14120,12169,47460
12/31/2025,14117,92.86,76.918,53,14117,12002,47128
